Matrix,A,B,T,Z,Multiplies,Adds,Swaps,Minimum Traffic,Time
wiki-Vote,1282464,731320,109706448,22004768,4542805,2711693,91922233,24012396,0
p2p-Gnutella31,2200360,2007664,13634544,6535048,538318,717,983578,10719876,0
ca-CondMat,2383608,2383608,100935792,28404688,4127524,1772087,43885953,33029308,0
poisson3Da,4326648,4326648,285484512,35571712,11768678,8811148,193201902,44118820,0
email-Enron,4652072,4983368,1239629064,366132328,51501448,21009294,913526534,375170048,0
uniform0,2422928,2422968,193058712,81874864,7975976,1146254,163996149,0,2035663.58
uniform1,2453160,2453008,48646856,46887608,3984096,78680,41706748,0,730801.7812
uniform2,2507896,2507632,49460072,23833992,1987858,4878,10910163,0,569777.2722
uniform3,2721936,2707496,27696728,12941600,1072202,364,3310820,0,335187.0691
uniform4,2844400,2633688,13811848,6009584,488667,19,817561,0,184078.2352
